Iteracion,Tiempo_Ejecucion,Envios_Total,Envios_Asignados,Envios_Fallidos,Pct_Asignados,Costo_Solucion,Tiempo_Entrega,Consumo_Memoria,Consumo_CPU
1,1540,488,488,0,100.00,3100.00,185400.00,1524.51,6.85
2,1453,488,488,0,100.00,3268.00,194280.00,2331.04,4.94
3,1451,488,488,0,100.00,3276.00,194700.00,2326.91,5.17
4,1605,488,488,0,100.00,3254.00,195120.00,1712.73,5.45
5,1493,488,488,0,100.00,3204.00,191640.00,2327.69,5.65
6,1403,488,488,0,100.00,3182.00,190020.00,2325.73,5.01
7,1459,488,488,0,100.00,3220.00,192840.00,2327.76,5.94
8,1437,488,488,0,100.00,3112.00,186120.00,2329.02,5.43
9,1418,488,488,0,100.00,3199.00,191580.00,2327.52,5.23
10,1560,488,488,0,100.00,3246.00,193680.00,2327.08,5.46
