Iteracion,Tiempo_Ejecucion,Envios_Total,Envios_Asignados,Envios_Fallidos,Pct_Asignados,Pct_Entregas_Tiempo,Costo_Solucion,Tiempo_Entrega,Consumo_Memoria,Consumo_CPU
1,266553,488,488,0,100.00,100.00,7.454918,218280.00,1949.26,4.81
2,328287,488,488,0,100.00,100.00,7.491803,219360.00,1745.31,4.85
3,320467,488,488,0,100.00,100.00,7.518443,220140.00,1231.94,4.82
4,321116,488,488,0,100.00,100.00,7.444672,217980.00,2133.50,5.87
5,353793,488,488,0,100.00,100.00,7.415984,217140.00,1475.61,5.61
6,340601,488,488,0,100.00,100.00,7.454918,218280.00,2131.19,5.58
7,306721,488,488,0,100.00,100.00,7.485656,219180.00,1615.19,6.35
8,267540,488,488,0,100.00,100.00,7.475410,218880.00,1086.90,6.41
9,304991,488,488,0,100.00,100.00,7.485656,219180.00,1121.75,6.14
10,312495,488,488,0,100.00,100.00,7.497951,219540.00,1970.32,6.52
