Iteracion,Tiempo_Ejecucion,Envios_Total,Envios_Asignados,Envios_Fallidos,Pct_Asignados,Pct_Entregas_Tiempo,Costo_Solucion,Tiempo_Entrega,Consumo_Memoria,Consumo_CPU
1,41932,1313,1313,0,31.68,100,0.40076,347045,151.25,95.87
2,41630,1313,1313,0,31.68,100,0.40076,347045,149.34,95.45
3,45337,1313,1313,0,31.68,100,0.40076,347045,214.37,92.43
4,45386,1313,1313,0,31.68,100,0.40076,347045,285.44,94.7
5,45761,1313,1313,0,31.68,100,0.40076,347045,212.32,95.13
6,45186,1313,1313,0,31.68,100,0.40076,347045,206.15,93.77
7,44765,1313,1313,0,31.68,100,0.40076,347045,299.04,94.63
8,44924,1313,1313,0,31.68,100,0.40076,347045,170.86,94.63
9,44214,1313,1313,0,31.68,100,0.40076,347045,208.24,93.72
10,66006,1313,1313,0,31.68,100,0.40076,347045,230.38,93.47
