idAeropuerto,ciudad,pais,continente,latitud,longitud,capacidadMaxima,tiempoProcesamientoMin
SKBO,Bogota,Colombia,SUR_AMERICA,4.701389,-74.146944,430,30
SEQM,Quito,Ecuador,SUR_AMERICA,0.113333,-78.358611,410,30
SVMI,Caracas,Venezuela,SUR_AMERICA,10.603056,-66.990556,400,30
SBBR,Brasilia,Brasil,SUR_AMERICA,-15.864722,-47.918056,480,30
SPIM,Lima,Perú,SUR_AMERICA,-12.021944,-77.114444,440,30
SLLP,La Paz,Bolivia,SUR_AMERICA,-16.513056,-68.192222,420,30
SCEL,Santiago de Chile,Chile,SUR_AMERICA,-33.396389,-70.794722,460,30
SABE,Buenos Aires,Argentina,SUR_AMERICA,-34.559167,-58.415556,460,30
SGAS,Asunción,Paraguay,SUR_AMERICA,-25.240000,-57.520000,400,30
SUAA,Motenvideo,Uruguay,SUR_AMERICA,-34.789167,-56.264722,400,30
LATI,Tirana,Albania,EUROPA,41.414722,19.716667,410,30
EDDI,Berlin,Alemania,EUROPA,52.473611,13.400000,480,30
LOWW,Viena,Austria,EUROPA,48.110833,16.566667,430,30
EBCI,Bruselas,Belgica,EUROPA,50.459167,4.450000,440,30
UMMS,Minsk,Bielorrusia,EUROPA,53.882500,28.016667,400,30
LBSF,Sofia,Bulgaria,EUROPA,42.690278,23.400000,400,30
LKPR,Praga,Checa,EUROPA,50.101389,14.250000,400,30
LDZA,Zagreb,Croacia,EUROPA,45.742778,16.066667,420,30
EKCH,Copenhague,Dinamarca,EUROPA,55.618056,12.650000,480,30
EHAM,Amsterdam,Holanda,EUROPA,52.300000,4.750000,480,30
VIDP,Delhi,India,ASIA,28.566389,77.100000,480,30
OSDI,Damasco,Siria,ASIA,33.411389,36.500000,400,30
OAKB,Kabul,Afganistan,ASIA,34.565556,69.200000,480,30
OOMS,Mascate,Oman,ASIA,23.589444,58.283333,460,30
OYSN,Sana,Yemen,ASIA,15.476111,44.216667,420,30
OPKC,Karachi,Pakistan,ASIA,24.900000,67.150000,410,30
UBBB,Baku,Azerbaiyan,ASIA,40.467222,50.033333,400,30
OJAI,Aman,Jordania,ASIA,31.722500,35.983333,400,30
