idEnvio,iataOrigen,iataDestino,tipoPaquete,cantidadMaletas,horaDisponibilidadUtc
000035816,EBCI,OPKC,NORMAL,2,2027-01-08T00:08:00.000Z
000035817,EBCI,SABE,NORMAL,2,2027-01-08T00:11:00.000Z
000035818,EBCI,SKBO,NORMAL,1,2027-01-08T00:21:00.000Z
000035819,EBCI,LATI,NORMAL,1,2027-01-08T00:25:00.000Z
000035820,EBCI,OJAI,NORMAL,1,2027-01-08T00:26:00.000Z
000035821,EBCI,SPIM,NORMAL,1,2027-01-08T00:26:00.000Z
000035822,EBCI,LOWW,NORMAL,1,2027-01-08T00:28:00.000Z
000035823,EBCI,OMDB,NORMAL,1,2027-01-08T00:38:00.000Z
000035824,EBCI,SCEL,NORMAL,1,2027-01-08T00:43:00.000Z
000035825,EBCI,OERK,NORMAL,1,2027-01-08T00:42:00.000Z
000035826,EBCI,SABE,NORMAL,1,2027-01-08T00:53:00.000Z
000035827,EBCI,SPIM,NORMAL,1,2027-01-08T00:56:00.000Z
000035828,EBCI,SLLP,NORMAL,1,2027-01-08T00:52:00.000Z
000035829,EBCI,SBBR,NORMAL,1,2027-01-08T00:57:00.000Z
000035830,EBCI,UBBB,NORMAL,1,2027-01-08T01:00:00.000Z
000035831,EBCI,OYSN,NORMAL,1,2027-01-08T01:08:00.000Z
000035832,EBCI,OSDI,NORMAL,1,2027-01-08T01:17:00.000Z
000035833,EBCI,OERK,NORMAL,1,2027-01-08T01:13:00.000Z
000035834,EBCI,SBBR,NORMAL,1,2027-01-08T01:25:00.000Z
000035835,EBCI,SVMI,NORMAL,1,2027-01-08T01:28:00.000Z
000035836,EBCI,LATI,NORMAL,1,2027-01-08T01:25:00.000Z
000035837,EBCI,SPIM,NORMAL,1,2027-01-08T01:30:00.000Z
000035838,EBCI,OAKB,NORMAL,1,2027-01-08T01:37:00.000Z
000035839,EBCI,SLLP,NORMAL,1,2027-01-08T01:41:00.000Z
000035840,EBCI,OERK,NORMAL,1,2027-01-08T01:45:00.000Z
000035841,EBCI,SLLP,NORMAL,1,2027-01-08T01:44:00.000Z
000035842,EBCI,LBSF,NORMAL,1,2027-01-08T01:53:00.000Z
000035843,EBCI,SKBO,NORMAL,1,2027-01-08T01:57:00.000Z
000035844,EBCI,UBBB,NORMAL,1,2027-01-08T01:04:00.000Z
000035845,EBCI,LBSF,NORMAL,1,2027-01-08T02:01:00.000Z
000035846,EBCI,SABE,NORMAL,1,2027-01-08T02:12:00.000Z
000035847,EBCI,VIDP,NORMAL,1,2027-01-08T02:13:00.000Z
000035848,EBCI,LBSF,NORMAL,1,2027-01-08T02:17:00.000Z
000035849,EBCI,SEQM,NORMAL,1,2027-01-08T02:22:00.000Z
000035850,EBCI,SVMI,NORMAL,1,2027-01-08T02:26:00.000Z
000035851,EBCI,OSDI,NORMAL,1,2027-01-08T02:32:00.000Z
000035852,EBCI,UBBB,NORMAL,1,2027-01-08T02:30:00.000Z
000035853,EBCI,SCEL,NORMAL,1,2027-01-08T02:36:00.000Z
000035854,EBCI,LDZA,NORMAL,1,2027-01-08T02:40:00.000Z
000035855,EBCI,EDDI,NORMAL,1,2027-01-08T02:44:00.000Z
000035856,EBCI,EDDI,NORMAL,1,2027-01-08T02:52:00.000Z
000035857,EBCI,UMMS,NORMAL,1,2027-01-08T02:55:00.000Z
000035858,EBCI,LDZA,NORMAL,1,2027-01-08T02:01:00.000Z
000035859,EBCI,SBBR,NORMAL,1,2027-01-08T02:03:00.000Z
000035860,EBCI,OOMS,NORMAL,1,2027-01-08T03:07:00.000Z
000035861,EBCI,UMMS,NORMAL,1,2027-01-08T03:11:00.000Z
000035862,EBCI,OMDB,NORMAL,1,2027-01-08T03:17:00.000Z
000035863,EBCI,EDDI,NORMAL,1,2027-01-08T03:20:00.000Z
000035864,EBCI,VIDP,NORMAL,1,2027-01-08T03:25:00.000Z
000035865,EBCI,OPKC,NORMAL,1,2027-01-08T03:23:00.000Z
000035866,EBCI,OERK,NORMAL,1,2027-01-08T03:27:00.000Z
000035867,EBCI,SEQM,NORMAL,1,2027-01-08T03:33:00.000Z
000035868,EBCI,UBBB,NORMAL,1,2027-01-08T03:39:00.000Z
000035869,EBCI,SABE,NORMAL,1,2027-01-08T03:40:00.000Z
000035870,EBCI,OERK,NORMAL,1,2027-01-08T03:40:00.000Z
000035871,EBCI,UBBB,NORMAL,1,2027-01-08T03:49:00.000Z
000035872,EBCI,OPKC,NORMAL,1,2027-01-08T03:48:00.000Z
000035873,EBCI,SUAA,NORMAL,1,2027-01-08T03:52:00.000Z
000035874,EBCI,SGAS,NORMAL,1,2027-01-08T03:03:00.000Z
000035875,EBCI,SUAA,NORMAL,1,2027-01-08T04:07:00.000Z
000035876,EBCI,EKCH,NORMAL,1,2027-01-08T04:05:00.000Z
000035877,EBCI,SGAS,NORMAL,1,2027-01-08T04:09:00.000Z
000035878,EBCI,OPKC,NORMAL,1,2027-01-08T04:18:00.000Z
000035879,EBCI,SABE,NORMAL,1,2027-01-08T04:16:00.000Z
000035880,EBCI,OYSN,NORMAL,1,2027-01-08T04:26:00.000Z
