idVuelo,iataOrigen,iataDestino,horaSalidaUtc,horaLlegadaUtc,capacidadMaletas,cancelado
V000001,SKBO,SEQM,2026-01-02T08:34:00.000Z,2026-01-02T09:21:00.000Z,300,false
V000002,SEQM,SKBO,2026-01-02T09:29:00.000Z,2026-01-02T10:16:00.000Z,340,false
V000003,SKBO,SEQM,2026-01-02T19:22:00.000Z,2026-01-02T20:09:00.000Z,320,false
V000004,SEQM,SKBO,2026-01-02T13:05:00.000Z,2026-01-02T13:52:00.000Z,320,false
V000005,SKBO,SEQM,2026-01-03T00:01:00.000Z,2026-01-03T00:48:00.000Z,340,false
V000006,SEQM,SKBO,2026-01-03T00:55:00.000Z,2026-01-03T01:42:00.000Z,360,false
V000007,SKBO,SVMI,2026-01-02T12:24:00.000Z,2026-01-02T13:47:00.000Z,300,false
V000008,SVMI,SKBO,2026-01-02T10:33:00.000Z,2026-01-02T11:56:00.000Z,340,false
V000009,SKBO,SVMI,2026-01-02T18:56:00.000Z,2026-01-02T20:19:00.000Z,360,false
V000010,SVMI,SKBO,2026-01-02T18:35:00.000Z,2026-01-02T19:58:00.000Z,340,false
V000011,SKBO,SVMI,2026-01-03T00:18:00.000Z,2026-01-03T01:41:00.000Z,360,false
V000012,SVMI,SKBO,2026-01-03T01:52:00.000Z,2026-01-03T03:15:00.000Z,360,false
V000013,SKBO,SBBR,2026-01-02T11:23:00.000Z,2026-01-02T15:58:00.000Z,320,false
V000014,SBBR,SKBO,2026-01-02T06:02:00.000Z,2026-01-02T10:37:00.000Z,320,false
V000015,SKBO,SBBR,2026-01-02T13:21:00.000Z,2026-01-02T17:56:00.000Z,300,false
V000016,SBBR,SKBO,2026-01-02T18:53:00.000Z,2026-01-02T23:28:00.000Z,360,false
V000017,SKBO,SBBR,2026-01-03T01:22:00.000Z,2026-01-03T05:57:00.000Z,360,false
V000018,SBBR,SKBO,2026-01-03T00:57:00.000Z,2026-01-03T05:32:00.000Z,360,false
V000019,SKBO,SPIM,2026-01-02T06:58:00.000Z,2026-01-02T09:14:00.000Z,340,false
V000020,SPIM,SKBO,2026-01-02T09:35:00.000Z,2026-01-02T11:51:00.000Z,340,false
V000021,SKBO,SPIM,2026-01-02T13:46:00.000Z,2026-01-02T16:02:00.000Z,300,false
V000022,SPIM,SKBO,2026-01-02T13:02:00.000Z,2026-01-02T15:18:00.000Z,300,false
V000023,SKBO,SPIM,2026-01-03T03:45:00.000Z,2026-01-03T06:01:00.000Z,340,false
V000024,SPIM,SKBO,2026-01-02T23:09:00.000Z,2026-01-03T01:25:00.000Z,340,false
V000025,SKBO,SLLP,2026-01-03T02:33:00.000Z,2026-01-03T05:28:00.000Z,360,false
V000026,SLLP,SKBO,2026-01-03T00:09:00.000Z,2026-01-03T03:04:00.000Z,300,false
V000027,SKBO,SCEL,2026-01-02T05:20:00.000Z,2026-01-02T10:32:00.000Z,360,false
V000028,SCEL,SKBO,2026-01-02T07:56:00.000Z,2026-01-02T13:08:00.000Z,300,false
V000029,SKBO,SCEL,2026-01-02T11:39:00.000Z,2026-01-02T16:51:00.000Z,320,false
V000030,SCEL,SKBO,2026-01-02T11:43:00.000Z,2026-01-02T16:55:00.000Z,340,false
V000031,SKBO,SCEL,2026-01-02T19:42:00.000Z,2026-01-03T00:54:00.000Z,320,false
V000032,SCEL,SKBO,2026-01-02T18:41:00.000Z,2026-01-02T23:53:00.000Z,360,false
V000033,SKBO,SCEL,2026-01-03T00:18:00.000Z,2026-01-03T05:30:00.000Z,320,false
V000034,SCEL,SKBO,2026-01-02T21:30:00.000Z,2026-01-03T02:42:00.000Z,340,false
V000035,SKBO,SABE,2026-01-02T05:41:00.000Z,2026-01-02T11:24:00.000Z,300,false
V000036,SABE,SKBO,2026-01-02T08:44:00.000Z,2026-01-02T14:27:00.000Z,340,false
V000037,SKBO,SABE,2026-01-02T14:17:00.000Z,2026-01-02T20:00:00.000Z,300,false
V000038,SABE,SKBO,2026-01-02T12:57:00.000Z,2026-01-02T18:40:00.000Z,340,false
V000039,SKBO,SABE,2026-01-02T17:41:00.000Z,2026-01-02T23:24:00.000Z,360,false
V000040,SABE,SKBO,2026-01-02T15:35:00.000Z,2026-01-02T21:18:00.000Z,360,false
V000041,SKBO,SABE,2026-01-03T03:11:00.000Z,2026-01-03T08:54:00.000Z,340,false
V000042,SABE,SKBO,2026-01-03T01:50:00.000Z,2026-01-03T07:33:00.000Z,320,false
V000043,SKBO,SGAS,2026-01-02T11:10:00.000Z,2026-01-02T15:50:00.000Z,360,false
V000044,SGAS,SKBO,2026-01-02T07:11:00.000Z,2026-01-02T11:51:00.000Z,320,false
V000045,SKBO,SGAS,2026-01-02T14:47:00.000Z,2026-01-02T19:27:00.000Z,320,false
V000046,SGAS,SKBO,2026-01-02T13:03:00.000Z,2026-01-02T17:43:00.000Z,320,false
V000047,SKBO,SGAS,2026-01-02T22:38:00.000Z,2026-01-03T03:18:00.000Z,340,false
V000048,SGAS,SKBO,2026-01-03T01:48:00.000Z,2026-01-03T06:28:00.000Z,340,false
V000049,SKBO,SUAA,2026-01-03T03:33:00.000Z,2026-01-03T09:22:00.000Z,360,false
V000050,SUAA,SKBO,2026-01-02T11:00:00.000Z,2026-01-02T16:49:00.000Z,340,false
V000051,SKBO,LATI,2026-01-02T09:59:00.000Z,2026-01-02T22:31:00.000Z,300,false
V000052,LATI,SKBO,2026-01-01T22:17:00.000Z,2026-01-02T10:49:00.000Z,360,false
V000053,SKBO,LATI,2026-01-02T12:21:00.000Z,2026-01-03T00:53:00.000Z,360,false
V000054,LATI,SKBO,2026-01-02T06:50:00.000Z,2026-01-02T19:22:00.000Z,300,false
V000055,SKBO,LATI,2026-01-02T19:40:00.000Z,2026-01-03T08:12:00.000Z,300,false
V000056,LATI,SKBO,2026-01-02T10:21:00.000Z,2026-01-02T22:53:00.000Z,360,false
V000057,SKBO,LATI,2026-01-02T23:04:00.000Z,2026-01-03T11:36:00.000Z,320,false
V000058,LATI,SKBO,2026-01-02T17:54:00.000Z,2026-01-03T06:26:00.000Z,360,false
V000059,SKBO,EDDI,2026-01-02T07:00:00.000Z,2026-01-02T18:53:00.000Z,360,false
V000060,EDDI,SKBO,2026-01-02T06:07:00.000Z,2026-01-02T18:00:00.000Z,300,false
V000061,SKBO,EDDI,2026-01-02T18:48:00.000Z,2026-01-03T06:41:00.000Z,320,false
V000062,EDDI,SKBO,2026-01-02T17:47:00.000Z,2026-01-03T05:40:00.000Z,340,false
V000063,SKBO,LOWW,2026-01-02T06:34:00.000Z,2026-01-02T18:44:00.000Z,360,false
V000064,LOWW,SKBO,2026-01-02T03:56:00.000Z,2026-01-02T16:06:00.000Z,360,false
V000065,SKBO,LOWW,2026-01-03T01:29:00.000Z,2026-01-03T13:39:00.000Z,340,false
V000066,LOWW,SKBO,2026-01-02T17:56:00.000Z,2026-01-03T06:06:00.000Z,360,false
V000067,SKBO,EBCI,2026-01-02T05:24:00.000Z,2026-01-02T16:29:00.000Z,340,false
V000068,EBCI,SKBO,2026-01-01T23:49:00.000Z,2026-01-02T10:54:00.000Z,360,false
V000069,SKBO,EBCI,2026-01-02T18:33:00.000Z,2026-01-03T05:38:00.000Z,360,false
V000070,EBCI,SKBO,2026-01-02T13:43:00.000Z,2026-01-03T00:48:00.000Z,340,false
V000071,SKBO,EBCI,2026-01-03T04:08:00.000Z,2026-01-03T15:13:00.000Z,340,false
V000072,EBCI,SKBO,2026-01-02T14:18:00.000Z,2026-01-03T01:23:00.000Z,300,false
V000073,SKBO,UMMS,2026-01-02T07:41:00.000Z,2026-01-02T20:49:00.000Z,320,false
V000074,UMMS,SKBO,2026-01-02T02:38:00.000Z,2026-01-02T15:46:00.000Z,320,false
V000075,SKBO,UMMS,2026-01-02T11:42:00.000Z,2026-01-03T00:50:00.000Z,340,false
V000076,UMMS,SKBO,2026-01-02T07:52:00.000Z,2026-01-02T21:00:00.000Z,360,false
V000077,SKBO,UMMS,2026-01-02T21:17:00.000Z,2026-01-03T10:25:00.000Z,360,false
V000078,UMMS,SKBO,2026-01-02T11:11:00.000Z,2026-01-03T00:19:00.000Z,300,false
V000079,SKBO,UMMS,2026-01-03T03:51:00.000Z,2026-01-03T16:59:00.000Z,300,false
V000080,UMMS,SKBO,2026-01-02T17:54:00.000Z,2026-01-03T07:02:00.000Z,360,false
V000081,SKBO,LBSF,2026-01-02T11:22:00.000Z,2026-01-03T00:18:00.000Z,320,false
V000082,LBSF,SKBO,2026-01-02T03:35:00.000Z,2026-01-02T16:31:00.000Z,320,false
V000083,SKBO,LBSF,2026-01-02T19:24:00.000Z,2026-01-03T08:20:00.000Z,340,false
V000084,LBSF,SKBO,2026-01-02T05:41:00.000Z,2026-01-02T18:37:00.000Z,340,false
V000085,SKBO,LBSF,2026-01-03T00:01:00.000Z,2026-01-03T12:57:00.000Z,300,false
V000086,LBSF,SKBO,2026-01-02T16:17:00.000Z,2026-01-03T05:13:00.000Z,300,false
V000087,SKBO,LKPR,2026-01-02T10:32:00.000Z,2026-01-02T22:31:00.000Z,360,false
V000088,LKPR,SKBO,2026-01-02T00:50:00.000Z,2026-01-02T12:49:00.000Z,320,false
V000089,SKBO,LKPR,2026-01-02T16:48:00.000Z,2026-01-03T04:47:00.000Z,360,false
V000090,LKPR,SKBO,2026-01-02T07:09:00.000Z,2026-01-02T19:08:00.000Z,360,false
V000091,SKBO,LKPR,2026-01-02T21:25:00.000Z,2026-01-03T09:24:00.000Z,300,false
V000092,LKPR,SKBO,2026-01-02T12:25:00.000Z,2026-01-03T00:24:00.000Z,340,false
V000093,SKBO,LKPR,2026-01-03T02:57:00.000Z,2026-01-03T14:56:00.000Z,320,false
V000094,LKPR,SKBO,2026-01-02T20:32:00.000Z,2026-01-03T08:31:00.000Z,340,false
V000095,SKBO,LDZA,2026-01-02T10:56:00.000Z,2026-01-02T23:07:00.000Z,300,false
V000096,LDZA,SKBO,2026-01-01T23:28:00.000Z,2026-01-02T11:39:00.000Z,320,false
V000097,SKBO,LDZA,2026-01-02T16:14:00.000Z,2026-01-03T04:25:00.000Z,300,false
V000098,LDZA,SKBO,2026-01-02T11:01:00.000Z,2026-01-02T23:12:00.000Z,320,false
V000099,SKBO,LDZA,2026-01-03T01:58:00.000Z,2026-01-03T14:09:00.000Z,360,false
V000100,LDZA,SKBO,2026-01-02T15:59:00.000Z,2026-01-03T04:10:00.000Z,360,false
V000101,SKBO,EKCH,2026-01-02T06:49:00.000Z,2026-01-02T18:37:00.000Z,340,false
V000102,EKCH,SKBO,2026-01-01T23:37:00.000Z,2026-01-02T11:25:00.000Z,320,false
V000103,SKBO,EKCH,2026-01-02T12:35:00.000Z,2026-01-03T00:23:00.000Z,340,false
V000104,EKCH,SKBO,2026-01-02T07:16:00.000Z,2026-01-02T19:04:00.000Z,320,false
V000105,SKBO,EKCH,2026-01-02T19:22:00.000Z,2026-01-03T07:10:00.000Z,340,false
