idEnvio,iataOrigen,iataDestino,tipoPaquete,cantidadMaletas,horaDisponibilidadUtc
SKBO-000000001,SKBO,SPIM,URGENTE,192,2026-01-02T05:55:00.000Z
SKBO-000000002,SKBO,SPIM,URGENTE,294,2026-01-02T06:58:00.000Z
SKBO-000000004,SKBO,SLLP,URGENTE,168,2026-01-02T08:41:00.000Z
SKBO-000000005,SKBO,SEQM,URGENTE,30,2026-01-02T09:36:00.000Z
SKBO-000000006,SKBO,SVMI,URGENTE,54,2026-01-02T10:37:00.000Z
SKBO-000000007,SKBO,OSDI,URGENTE,39,2026-01-02T11:29:00.000Z
SKBO-000000008,SKBO,SBBR,NORMAL,124,2026-01-02T12:22:00.000Z
SKBO-000000009,SKBO,OSDI,NORMAL,197,2026-01-02T13:21:00.000Z
SKBO-000000010,SKBO,SLLP,NORMAL,217,2026-01-02T14:17:00.000Z
SKBO-000000011,SKBO,EDDI,NORMAL,19,2026-01-02T15:13:00.000Z
SKBO-000000013,SKBO,OOMS,NORMAL,287,2026-01-02T16:59:00.000Z
SKBO-000000014,SKBO,OSDI,NORMAL,303,2026-01-02T17:52:00.000Z
SKBO-000000015,SKBO,SBBR,NORMAL,151,2026-01-02T18:49:00.000Z
SKBO-000000016,SKBO,SEQM,NORMAL,69,2026-01-02T19:43:00.000Z
SKBO-000000017,SKBO,UMMS,URGENTE,328,2026-01-03T05:51:00.000Z
SKBO-000000018,SKBO,OPKC,URGENTE,87,2026-01-03T06:47:00.000Z
SKBO-000000019,SKBO,OSDI,URGENTE,8,2026-01-03T07:36:00.000Z
SKBO-000000020,SKBO,LKPR,URGENTE,222,2026-01-03T08:21:00.000Z
SKBO-000000021,SKBO,LOWW,NORMAL,301,2026-01-03T09:13:00.000Z
SKBO-000000022,SKBO,LATI,NORMAL,193,2026-01-03T09:56:00.000Z
SKBO-000000023,SKBO,UBBB,NORMAL,238,2026-01-03T10:49:00.000Z
SKBO-000000024,SKBO,VIDP,NORMAL,244,2026-01-03T11:41:00.000Z
SKBO-000000025,SKBO,VIDP,NORMAL,311,2026-01-03T12:27:00.000Z
SKBO-000000026,SKBO,SBBR,NORMAL,196,2026-01-03T13:18:00.000Z
SKBO-000000028,SKBO,SCEL,NORMAL,50,2026-01-03T14:48:00.000Z
SKBO-000000029,SKBO,OYSN,NORMAL,263,2026-01-03T15:38:00.000Z
SKBO-000000030,SKBO,OAKB,NORMAL,246,2026-01-03T16:35:00.000Z
SKBO-000000031,SKBO,EBCI,NORMAL,215,2026-01-03T17:22:00.000Z
SKBO-000000032,SKBO,SGAS,NORMAL,229,2026-01-03T18:06:00.000Z
SKBO-000000033,SKBO,EDDI,NORMAL,311,2026-01-03T18:56:00.000Z
SKBO-000000034,SKBO,EHAM,NORMAL,227,2026-01-03T19:50:00.000Z
SKBO-000000035,SKBO,OPKC,NORMAL,317,2026-01-03T20:37:00.000Z
SKBO-000000036,SKBO,EDDI,URGENTE,269,2026-01-04T05:53:00.000Z
SKBO-000000038,SKBO,LDZA,URGENTE,51,2026-01-04T07:27:00.000Z
SKBO-000000039,SKBO,LOWW,URGENTE,133,2026-01-04T08:18:00.000Z
SKBO-000000040,SKBO,EDDI,NORMAL,224,2026-01-04T09:06:00.000Z
SKBO-000000041,SKBO,LDZA,NORMAL,156,2026-01-04T09:53:00.000Z
SKBO-000000042,SKBO,EDDI,NORMAL,274,2026-01-04T10:38:00.000Z
SKBO-000000043,SKBO,LATI,NORMAL,217,2026-01-04T11:25:00.000Z
SKBO-000000044,SKBO,LKPR,NORMAL,311,2026-01-04T12:12:00.000Z
SKBO-000000045,SKBO,EDDI,NORMAL,113,2026-01-04T13:07:00.000Z
SKBO-000000046,SKBO,SABE,NORMAL,278,2026-01-04T13:55:00.000Z
SKBO-000000047,SKBO,SBBR,NORMAL,89,2026-01-04T14:41:00.000Z
SKBO-000000048,SKBO,EHAM,NORMAL,242,2026-01-04T15:32:00.000Z
SKBO-000000049,SKBO,EKCH,NORMAL,249,2026-01-04T16:14:00.000Z
SKBO-000000050,SKBO,OYSN,NORMAL,164,2026-01-04T17:00:00.000Z
SKBO-000000051,SKBO,SGAS,NORMAL,326,2026-01-04T17:48:00.000Z
SKBO-000000052,SKBO,LOWW,NORMAL,174,2026-01-04T18:41:00.000Z
SKBO-000000053,SKBO,OJAI,NORMAL,205,2026-01-04T19:28:00.000Z
SKBO-000000054,SKBO,SGAS,NORMAL,276,2026-01-04T20:15:00.000Z
SKBO-000000055,SKBO,OSDI,NORMAL,244,2026-01-04T21:02:00.000Z
SEQM-000000001,SEQM,SBBR,URGENTE,276,2026-01-02T06:11:00.000Z
SEQM-000000003,SEQM,SVMI,URGENTE,226,2026-01-02T08:06:00.000Z
SEQM-000000005,SEQM,LKPR,URGENTE,138,2026-01-02T10:17:00.000Z
SEQM-000000006,SEQM,OPKC,URGENTE,103,2026-01-02T11:15:00.000Z
SEQM-000000007,SEQM,SGAS,URGENTE,170,2026-01-02T12:22:00.000Z
SEQM-000000008,SEQM,OSDI,URGENTE,173,2026-01-02T13:17:00.000Z
SEQM-000000009,SEQM,OYSN,URGENTE,119,2026-01-02T14:22:00.000Z
SEQM-000000010,SEQM,SLLP,URGENTE,22,2026-01-02T15:22:00.000Z
SEQM-000000011,SEQM,UBBB,NORMAL,116,2026-01-02T16:26:00.000Z
SEQM-000000012,SEQM,EBCI,NORMAL,37,2026-01-02T17:25:00.000Z
SEQM-000000013,SEQM,SLLP,NORMAL,98,2026-01-02T18:35:00.000Z
SEQM-000000014,SEQM,SGAS,URGENTE,224,2026-01-03T05:46:00.000Z
SEQM-000000015,SEQM,LATI,URGENTE,234,2026-01-03T06:33:00.000Z
SEQM-000000016,SEQM,SCEL,NORMAL,189,2026-01-03T07:26:00.000Z
SEQM-000000017,SEQM,SLLP,NORMAL,218,2026-01-03T08:05:00.000Z
SEQM-000000018,SEQM,SGAS,NORMAL,107,2026-01-03T08:53:00.000Z
SEQM-000000019,SEQM,SLLP,NORMAL,46,2026-01-03T09:36:00.000Z
SEQM-000000020,SEQM,UBBB,NORMAL,181,2026-01-03T10:30:00.000Z
SEQM-000000021,SEQM,OAKB,NORMAL,195,2026-01-03T11:16:00.000Z
SEQM-000000022,SEQM,SABE,NORMAL,167,2026-01-03T11:54:00.000Z
SEQM-000000023,SEQM,EDDI,NORMAL,324,2026-01-03T12:47:00.000Z
SEQM-000000024,SEQM,SUAA,NORMAL,225,2026-01-03T13:35:00.000Z
SEQM-000000025,SEQM,EKCH,NORMAL,78,2026-01-03T14:18:00.000Z
SEQM-000000026,SEQM,SUAA,NORMAL,141,2026-01-03T14:06:00.000Z
SEQM-000000027,SEQM,SUAA,NORMAL,87,2026-01-03T15:48:00.000Z
SEQM-000000028,SEQM,LOWW,NORMAL,316,2026-01-03T16:32:00.000Z
SEQM-000000029,SEQM,LATI,NORMAL,7,2026-01-03T17:19:00.000Z
SEQM-000000030,SEQM,EHAM,NORMAL,27,2026-01-03T18:09:00.000Z
SEQM-000000031,SEQM,EHAM,NORMAL,301,2026-01-03T18:55:00.000Z
SEQM-000000032,SEQM,SPIM,NORMAL,102,2026-01-03T19:39:00.000Z
SEQM-000000033,SEQM,LATI,NORMAL,117,2026-01-03T20:29:00.000Z
SEQM-000000034,SEQM,OSDI,NORMAL,123,2026-01-03T21:08:00.000Z
SEQM-000000036,SEQM,SCEL,URGENTE,233,2026-01-04T06:44:00.000Z
SEQM-000000037,SEQM,OSDI,URGENTE,169,2026-01-04T07:27:00.000Z
SEQM-000000038,SEQM,EDDI,URGENTE,183,2026-01-04T08:16:00.000Z
SEQM-000000040,SEQM,EKCH,NORMAL,273,2026-01-04T09:02:00.000Z
SEQM-000000041,SEQM,SUAA,NORMAL,47,2026-01-04T10:51:00.000Z
SEQM-000000043,SEQM,SABE,NORMAL,165,2026-01-04T12:29:00.000Z
