idEnvio,iataOrigen,iataDestino,tipoPaquete,cantidadMaletas,horaDisponibilidadUtc
EHAM-000000012,EHAM,EDDI,URGENTE,265,2026-01-03T00:00:00.000Z
OPKC-000000026,OPKC,OAKB,URGENTE,40,2026-01-03T00:00:00.000Z
LDZA-000000022,LDZA,OJAI,URGENTE,188,2026-01-03T00:05:00.000Z
LBSF-000000022,LBSF,SKBO,URGENTE,222,2026-01-03T00:09:00.000Z
OJAI-000000012,OJAI,EBCI,NORMAL,164,2026-01-03T00:16:00.000Z
UBBB-000000014,UBBB,SUAA,NORMAL,273,2026-01-03T00:22:00.000Z
EBCI-000000024,EBCI,SPIM,NORMAL,274,2026-01-03T00:27:00.000Z
LKPR-000000017,LKPR,OJAI,NORMAL,281,2026-01-03T00:27:00.000Z
EKCH-000000016,EKCH,SABE,URGENTE,145,2026-01-03T00:27:00.000Z
LATI-000000023,LATI,UBBB,URGENTE,212,2026-01-03T00:32:00.000Z
