Iteracion,Tiempo_Ejecucion,Envios_Total,Envios_Asignados,Envios_Fallidos,Pct_Asignados,Pct_Entregas_Tiempo,Costo_Solucion,Tiempo_Entrega,Consumo_Memoria,Consumo_CPU
1,39932,1313,1313,0,31.68,100,0.40076,347045,16.89,4.86
2,45764,1313,1313,0,31.68,100,0.40076,347045,58.86,4.73
3,42041,1313,1313,0,31.68,100,0.40076,347045,37,4.74
4,43680,1313,1313,0,31.68,100,0.40076,347045,15.53,4.78
5,42046,1313,1313,0,31.68,100,0.40076,347045,65.63,4.82
6,35953,1313,1313,0,31.68,100,0.40076,347045,24.53,4.8
7,41278,1313,1313,0,31.68,100,0.40076,347045,68.53,4.64
8,38644,1313,1313,0,31.68,100,0.40076,347045,37.61,4.69
9,35854,1313,1313,0,31.68,100,0.40076,347045,30.65,4.77
10,33070,1313,1313,0,31.68,100,0.40076,347045,39.56,4.62
