2026-04-22 23:26:49.236 [main] INFO  pe.pucp.tasfb2b.TasfB2bApplication - Starting TasfB2bApplication using Java 17.0.6 with PID 43456 (D:\Marcelo\UniversityProjects\tasfb2b\tasf-b2b-backend\target\classes started by ASUS in D:\Marcelo\UniversityProjects\tasfb2b\tasf-b2b-backend)
2026-04-22 23:26:49.240 [main] DEBUG pe.pucp.tasfb2b.TasfB2bApplication - Running with Spring Boot v3.2.5, Spring v6.1.6
2026-04-22 23:26:49.241 [main] INFO  pe.pucp.tasfb2b.TasfB2bApplication - No active profile set, falling back to 1 default profile: "default"
2026-04-22 23:26:50.179 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-04-22 23:26:50.199 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-04-22 23:26:50.207 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-04-22 23:26:50.207 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2026-04-22 23:26:50.281 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-04-22 23:26:50.282 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 975 ms
2026-04-22 23:26:50.329 [main] INFO  pe.pucp.tasfb2b.controller.PlannerController - PlannerController inicializado con 1 algoritmos: [ALNS]
2026-04-22 23:26:50.598 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-04-22 23:26:50.620 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2026-04-22 23:26:50.628 [main] INFO  pe.pucp.tasfb2b.TasfB2bApplication - Started TasfB2bApplication in 1.938 seconds (process running for 2.309)
